Possession Length,# Dribbles,# Passes,Ball Distance,Average Ball Speed,Off Player Distances,Off Player Speeds,Def Player Distances,Def Player Speeds,Trigger,Outcome,OutcomeMSG,OutcomeMSGaction,Team Id,Game Id
1.96,1,0,29.51,10.27,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 14.69, '561048bb-c412-4d8b-a0bc-27d250a1a431': 17.83, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 29.79, '79b83f96-5723-4219-b521-57de6111ee97': 9.99, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 7.36}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 5.11, '561048bb-c412-4d8b-a0bc-27d250a1a431': 6.2, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 10.36, '79b83f96-5723-4219-b521-57de6111ee97': 3.48, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 2.56}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 4.18, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 14.35, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 6.48, '267de25c-42a5-403a-9fde-0be582ac053b': 30.32, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 27.89}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 1.45, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 4.99, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 2.25, '267de25c-42a5-403a-9fde-0be582ac053b': 10.55, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 9.7}",TO,foul,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
6.36,3,3,117.51,12.6,"{'ff411907-89ef-11e6-9c68-a45e60e298d3': 63.7, '986b713a-b20b-4eb0-919e-c859d0508af7': 83.19, '79b83f96-5723-4219-b521-57de6111ee97': 42.18, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 77.26, '561048bb-c412-4d8b-a0bc-27d250a1a431': 35.95}","{'ff411907-89ef-11e6-9c68-a45e60e298d3': 6.83, '986b713a-b20b-4eb0-919e-c859d0508af7': 8.92, '79b83f96-5723-4219-b521-57de6111ee97': 4.52, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 8.28, '561048bb-c412-4d8b-a0bc-27d250a1a431': 3.85}","{'267de25c-42a5-403a-9fde-0be582ac053b': 58.12, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 80.19, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 55.76, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 87.61, '61fc6b15-5ce2-4613-a67b-f15bada3aa57': 82.32}","{'267de25c-42a5-403a-9fde-0be582ac053b': 6.23, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 8.6, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 5.98, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 9.39, '61fc6b15-5ce2-4613-a67b-f15bada3aa57': 8.83}",TO,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
4.24,1,1,84.89,13.65,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 66.57, '561048bb-c412-4d8b-a0bc-27d250a1a431': 27.72, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 49.31, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 24.81, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 35.64}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 10.7, '561048bb-c412-4d8b-a0bc-27d250a1a431': 4.46, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 7.93, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 3.99, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 5.73}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 30.54, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 61.01, '82a7f31c-e3b4-4105-8d3e-0e4dcde0f73b': 53.66, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 66.51, '1424d944-bd15-4a60-9f13-ebf5e2a67d84': 71.6}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 4.91, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 9.81, '82a7f31c-e3b4-4105-8d3e-0e4dcde0f73b': 8.63, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 10.7, '1424d944-bd15-4a60-9f13-ebf5e2a67d84': 11.51}",TO,shot,1.0,41.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,8,1,123.62,10.59,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 70.21, '561048bb-c412-4d8b-a0bc-27d250a1a431': 83.09, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 85.35, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 91.31, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 76.01}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 6.01, '561048bb-c412-4d8b-a0bc-27d250a1a431': 7.12, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 7.31, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 7.82, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 6.51}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 80.98, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 65.61, '82a7f31c-e3b4-4105-8d3e-0e4dcde0f73b': 73.78, 'ff415fa8-89ef-11e6-bc85-a45e60e298d3': 87.72, '1424d944-bd15-4a60-9f13-ebf5e2a67d84': 65.92}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 6.94, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 5.62, '82a7f31c-e3b4-4105-8d3e-0e4dcde0f73b': 6.32, 'ff415fa8-89ef-11e6-bc85-a45e60e298d3': 7.51, '1424d944-bd15-4a60-9f13-ebf5e2a67d84': 5.65}",TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,6,2,115.01,9.85,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 62.74, '561048bb-c412-4d8b-a0bc-27d250a1a431': 37.73, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 45.87, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 58.55, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 36.51}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 5.37, '561048bb-c412-4d8b-a0bc-27d250a1a431': 3.23, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 3.93, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 5.02, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 3.13}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 36.58, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 61.97, '82a7f31c-e3b4-4105-8d3e-0e4dcde0f73b': 51.17, 'ff415fa8-89ef-11e6-bc85-a45e60e298d3': 81.82, '1424d944-bd15-4a60-9f13-ebf5e2a67d84': 29.68}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 3.13, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 5.31, '82a7f31c-e3b4-4105-8d3e-0e4dcde0f73b': 4.38, 'ff415fa8-89ef-11e6-bc85-a45e60e298d3': 7.01, '1424d944-bd15-4a60-9f13-ebf5e2a67d84': 2.54}",TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,8,0,75.09,6.43,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 59.27, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 69.32, '79b83f96-5723-4219-b521-57de6111ee97': 54.26, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 68.46, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 78.55}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 5.08, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 5.94, '79b83f96-5723-4219-b521-57de6111ee97': 4.65, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 5.86, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 6.73}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 61.54, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 74.04, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 61.95, '267de25c-42a5-403a-9fde-0be582ac053b': 48.75, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 52.8}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 5.27, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 6.34, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 5.31, '267de25c-42a5-403a-9fde-0be582ac053b': 4.18, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 4.52}",TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,4,2,95.14,8.15,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 71.77, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 62.7, '79b83f96-5723-4219-b521-57de6111ee97': 72.03, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 57.47, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 76.23}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 6.15, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 5.37, '79b83f96-5723-4219-b521-57de6111ee97': 6.17, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 4.92, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 6.53}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 70.52, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 66.23, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 56.82, '267de25c-42a5-403a-9fde-0be582ac053b': 58.84, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 78.61}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 6.04, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 5.67, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 4.87, '267de25c-42a5-403a-9fde-0be582ac053b': 5.04, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 6.73}",TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
6.6,3,3,129.31,13.36,"{'ff411907-89ef-11e6-9c68-a45e60e298d3': 66.52, '79b83f96-5723-4219-b521-57de6111ee97': 43.46, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 92.34, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 71.81, '986b713a-b20b-4eb0-919e-c859d0508af7': 65.72}","{'ff411907-89ef-11e6-9c68-a45e60e298d3': 6.87, '79b83f96-5723-4219-b521-57de6111ee97': 4.49, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 9.54, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 7.42, '986b713a-b20b-4eb0-919e-c859d0508af7': 6.79}","{'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 71.09, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 48.74, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 98.64, '61fc6b15-5ce2-4613-a67b-f15bada3aa57': 66.75, '82a7f31c-e3b4-4105-8d3e-0e4dcde0f73b': 54.68}","{'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 7.34, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 5.04, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 10.19, '61fc6b15-5ce2-4613-a67b-f15bada3aa57': 6.9, '82a7f31c-e3b4-4105-8d3e-0e4dcde0f73b': 5.65}",TO,shot,2.0,101.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
4.4,2,2,56.83,8.81,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 19.29, '561048bb-c412-4d8b-a0bc-27d250a1a431': 41.92, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 23.74, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 36.94, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 38.42}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 2.99, '561048bb-c412-4d8b-a0bc-27d250a1a431': 6.5, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 3.68, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 5.72, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 5.95}","{'ff41362b-89ef-11e6-babd-a45e60e298d3': 34.9, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 30.11, '267de25c-42a5-403a-9fde-0be582ac053b': 21.15, 'ff415fa8-89ef-11e6-bc85-a45e60e298d3': 41.74, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 42.87}","{'ff41362b-89ef-11e6-babd-a45e60e298d3': 5.41, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 4.67, '267de25c-42a5-403a-9fde-0be582ac053b': 3.28, 'ff415fa8-89ef-11e6-bc85-a45e60e298d3': 6.47, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 6.64}",TO,shot,6.0,2.0,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,7,1,83.43,7.15,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 51.17, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 51.17, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 76.68, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 71.88, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 68.99}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 4.38, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 4.38, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 6.57, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 6.16, '297a0fda-0a03-4003-bf39-aa92b7a730ff': 5.91}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 82.01, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 69.09, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 51.53, '267de25c-42a5-403a-9fde-0be582ac053b': 37.51, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 54.88}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 7.02, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 5.92, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 4.41, '267de25c-42a5-403a-9fde-0be582ac053b': 3.21, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 4.7}",TO,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
8.04,1,1,68.71,5.83,"{'79b83f96-5723-4219-b521-57de6111ee97': 34.18, '986b713a-b20b-4eb0-919e-c859d0508af7': 46.52, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 38.05, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 62.38, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 38.5}","{'79b83f96-5723-4219-b521-57de6111ee97': 2.9, '986b713a-b20b-4eb0-919e-c859d0508af7': 3.95, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 3.23, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 5.29, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 3.26}","{'267de25c-42a5-403a-9fde-0be582ac053b': 41.91, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 83.44, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 61.03, '61fc6b15-5ce2-4613-a67b-f15bada3aa57': 53.87, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 63.14}","{'267de25c-42a5-403a-9fde-0be582ac053b': 3.55, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 7.08, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 5.18, '61fc6b15-5ce2-4613-a67b-f15bada3aa57': 4.57, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 5.35}",SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,5,2,81.74,7.0,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 69.17, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 62.56, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 55.99, '79b83f96-5723-4219-b521-57de6111ee97': 75.85, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 71.84}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 5.92, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 5.36, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 4.8, '79b83f96-5723-4219-b521-57de6111ee97': 6.5, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 6.15}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 65.3, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 77.68, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 60.9, '267de25c-42a5-403a-9fde-0be582ac053b': 62.34, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 72.22}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 5.59, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 6.65, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 5.22, '267de25c-42a5-403a-9fde-0be582ac053b': 5.34, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 6.19}",SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,4,2,90.08,7.72,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 30.66, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 75.46, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 69.04, '79b83f96-5723-4219-b521-57de6111ee97': 57.5, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 72.28}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 2.63, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 6.46, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 5.91, '79b83f96-5723-4219-b521-57de6111ee97': 4.93, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 6.19}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 28.92, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 67.6, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 74.7, '267de25c-42a5-403a-9fde-0be582ac053b': 69.52, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 26.26}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 2.48, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 5.79, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 6.4, '267de25c-42a5-403a-9fde-0be582ac053b': 5.95, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 2.25}",SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,4,1,88.85,7.61,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 34.26, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 32.45, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 49.47, '79b83f96-5723-4219-b521-57de6111ee97': 54.42, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 64.19}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 2.93, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 2.78, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 4.24, '79b83f96-5723-4219-b521-57de6111ee97': 4.66, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 5.5}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 55.18, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 61.19, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 73.98, '267de25c-42a5-403a-9fde-0be582ac053b': 30.99, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 65.0}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 4.73, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 5.24, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 6.34, '267de25c-42a5-403a-9fde-0be582ac053b': 2.65, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 5.57}",SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
1.4,0,0,7.79,3.79,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 7.4, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 1.44, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 2.91, '79b83f96-5723-4219-b521-57de6111ee97': 10.49, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 5.53}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 3.6, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 0.7, 'ff427c2e-89ef-11e6-8d2a-a45e60e298d3': 1.42, '79b83f96-5723-4219-b521-57de6111ee97': 5.11, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 2.69}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 6.92, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 7.07, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 9.6, '267de25c-42a5-403a-9fde-0be582ac053b': 16.27, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 13.21}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 3.37, 'ff41362b-89ef-11e6-babd-a45e60e298d3': 3.44, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 4.68, '267de25c-42a5-403a-9fde-0be582ac053b': 7.92, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 6.43}",SHOT,stoppage,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,5,2,50.09,4.29,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 51.87, '561048bb-c412-4d8b-a0bc-27d250a1a431': 62.09, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 60.28, '79b83f96-5723-4219-b521-57de6111ee97': 63.73, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 70.11}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 4.44, '561048bb-c412-4d8b-a0bc-27d250a1a431': 5.32, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 5.16, '79b83f96-5723-4219-b521-57de6111ee97': 5.46, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 6.01}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 64.31, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 52.77, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 87.38, '267de25c-42a5-403a-9fde-0be582ac053b': 65.44, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 45.85}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 5.51, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 4.52, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 7.48, '267de25c-42a5-403a-9fde-0be582ac053b': 5.61, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 3.93}",SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,1,1,85.36,7.31,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 36.29, '561048bb-c412-4d8b-a0bc-27d250a1a431': 29.43, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 35.05, '79b83f96-5723-4219-b521-57de6111ee97': 27.9, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 61.67}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 3.11, '561048bb-c412-4d8b-a0bc-27d250a1a431': 2.52, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 3.0, '79b83f96-5723-4219-b521-57de6111ee97': 2.39, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 5.28}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 54.32, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 73.22, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 67.11, '267de25c-42a5-403a-9fde-0be582ac053b': 39.07, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 42.94}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 4.65, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 6.27, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 5.75, '267de25c-42a5-403a-9fde-0be582ac053b': 3.35, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 3.68}",SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
7.96,3,3,106.06,9.08,"{'986b713a-b20b-4eb0-919e-c859d0508af7': 58.75, '561048bb-c412-4d8b-a0bc-27d250a1a431': 41.35, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 42.56, '79b83f96-5723-4219-b521-57de6111ee97': 73.84, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 62.64}","{'986b713a-b20b-4eb0-919e-c859d0508af7': 5.03, '561048bb-c412-4d8b-a0bc-27d250a1a431': 3.54, 'ff411907-89ef-11e6-9c68-a45e60e298d3': 3.65, '79b83f96-5723-4219-b521-57de6111ee97': 6.32, 'a6904c1c-0dc5-41c8-a618-b3a276131726': 5.37}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 51.66, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 90.33, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 82.4, '267de25c-42a5-403a-9fde-0be582ac053b': 77.94, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 65.42}","{'61fc6b15-5ce2-4613-a67b-f15bada3aa57': 4.42, 'f29ca586-3ba3-4010-8a2c-84e54f0737ba': 7.74, 'ff41f5c7-89ef-11e6-8f93-a45e60e298d3': 7.06, '267de25c-42a5-403a-9fde-0be582ac053b': 6.68, 'ff41baca-89ef-11e6-8ca0-a45e60e298d3': 5.6}",SHOT,no shot,,,feb4cb57-89ef-11e6-86b2-a45e60e298d3,31cb8a55-0ee0-4d47-aa38-4f512e54e763
